Module                  Size  Used by
xt_conntrack           12288  2
xt_MASQUERADE          16384  2
bridge                425984  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
xfrm_user              65536  1
xfrm_algo              16384  1 xfrm_user
xt_set                 20480  0
ip_set                 61440  1 xt_set
nft_chain_nat          12288  5
nf_nat                 61440  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack          192512  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
xt_addrtype            12288  4
nft_compat             20480  8
nf_tables             385024  80 nft_compat,nft_chain_nat
ccm                    20480  6
rfcomm                 98304  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
overlay               221184  0
qrtr                   53248  2
cmac                   12288  3
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
binfmt_misc            24576  1
nls_iso8859_1          12288  1
snd_soc_dmic           12288  1
snd_acp6x_pdm_dma      12288  1
snd_soc_acp6x_mach     40960  5
snd_sof_amd_acp70      16384  0
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
snd_sof_amd_rembrandt    16384  0
snd_sof_amd_renoir     16384  0
snd_sof_amd_acp        61440  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_ctl_led            24576  0
snd_sof_pci            24576  5 snd_sof_amd_acp70,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_xtensa_dsp     12288  1 snd_sof_amd_acp
amdgpu              20103168  20
snd_hda_codec_alc269   139264  1
snd_hda_scodec_component    20480  1 snd_hda_codec_alc269
intel_rapl_msr         20480  0
amd_atl                69632  1
snd_sof               401408  2 snd_sof_amd_acp,snd_sof_pci
snd_hda_codec_realtek_lib    65536  1 snd_hda_codec_alc269
intel_rapl_common      53248  1 intel_rapl_msr
snd_hda_codec_generic   122880  2 snd_hda_codec_realtek_lib,snd_hda_codec_alc269
snd_sof_utils          16384  1 snd_sof
snd_pci_ps             32768  0
snd_hda_codec_atihdmi    24576  2
snd_soc_acpi_amd_match    12288  3 snd_sof_amd_acp70,snd_sof_amd_acp63,snd_pci_ps
snd_amd_sdw_acpi       16384  2 snd_sof_amd_acp,snd_pci_ps
snd_hda_codec_hdmi     65536  1 snd_hda_codec_atihdmi
soundwire_amd          45056  2 snd_sof_amd_acp,snd_pci_ps
soundwire_generic_allocation    24576  1 soundwire_amd
rtw89_8852be           12288  0
soundwire_bus        1175552  2 soundwire_generic_allocation,soundwire_amd
rtw89_8852b           372736  1 rtw89_8852be
snd_hda_intel          61440  19
snd_soc_sdca           90112  1 soundwire_bus
snd_hda_codec         204800  6 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek_lib,snd_hda_codec_alc269,snd_hda_codec_atihdmi
rtw89_8852b_common     73728  1 rtw89_8852b
edac_mce_amd           28672  0
snd_soc_core          417792  6 snd_soc_acp6x_mach,snd_sof,snd_soc_sdca,snd_acp6x_pdm_dma,soundwire_amd,snd_soc_dmic
rtw89_pci             106496  1 rtw89_8852be
